23/10/2024 02:31:05 PM DEBUG:	 proactor_events.py: __init__()-Line: 630	 message: Using proactor: IocpProactor
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 627	 message: Calling on_part_begin with no data
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_header_field with data[36:55]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_header_value with data[57:102]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 627	 message: Calling on_header_end with no data
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_header_field with data[104:116]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_header_value with data[118:128]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 627	 message: Calling on_header_end with no data
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 627	 message: Calling on_headers_finished with no data
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[132:1460]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:11680]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:1460]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:26280]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:1460]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:1460]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:1460]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:1460]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:1460]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:1460]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:1460]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:1460]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:1460]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:1460]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:4380]
23/10/2024 02:43:44 PM DEBUG:	 multipart.py: callback()-Line: 624	 message: Calling on_part_data with data[0:2920]
